Index,Section,Distance (μm),Length (μm),Radius_prox (μm),Radius_mid (μm),Radius_dist (μm),Mean_radius (μm),Diameter_prox (μm),Diameter_mid (μm),Diameter_dist (μm)
1,_pysec.CA1[0].apic[138],643.1,174.53,0.2,0.24,0.21,0.22,0.4,0.48,0.43
2,_pysec.CA1[0].apic[139],660.72,17.61,0.17,0.25,0.16,0.19,0.33,0.49,0.32
3,_pysec.CA1[0].apic[140],646.88,3.78,0.1,0.08,0.08,0.08,0.19,0.15,0.15
4,_pysec.CA1[0].apic[141],620.58,152.01,0.27,0.28,0.23,0.26,0.54,0.57,0.46
5,_pysec.CA1[0].apic[143],614.88,171.23,0.29,0.3,0.22,0.27,0.58,0.61,0.43
6,_pysec.CA1[0].apic[155],646.91,382.01,0.43,0.42,0.34,0.4,0.86,0.84,0.68
7,_pysec.CA1[0].apic[22],656.55,103.1,0.26,0.3,0.2,0.25,0.52,0.59,0.4
8,_pysec.CA1[0].apic[24],607.5,173.35,0.37,0.41,0.4,0.39,0.74,0.81,0.8
9,_pysec.CA1[0].apic[34],622.4,127.11,0.26,0.32,0.28,0.29,0.51,0.63,0.57
10,_pysec.CA1[0].apic[36],623.96,141.55,0.25,0.25,0.26,0.25,0.49,0.5,0.52
